,WP347LN CR347LN,S34751,0.005-,2.0,0.045,0.03,1.00,9.0-13.0,17.0-19.0,NbO 0.20-0.50,L N,
,,,0.020,,,,,,,0.06--0. 10c,
,,,,,,,,,,,►
,WP348 CR348,S34800,0.08,2.0,0.045,0.03,1.00,9.0-12.0,17.0-19.0,NbO +Ta=10x(C)-1.10,V,
,,,,,,,,,,Ta 0.10,3:
,,,,,,,,,,,r!l
,,,,,,,,,,Co 0.20,t:1:1
0\,WP348H CR348H,S34809,0.04--0.10,2.0,0.045,0.03,1.00,9.0-12.0,17.0-19.0,Nb0 +T a=8x(C)-1.10,
-...J,,,,,,,,,,Ta 0.10,
-...J,,,,,,,,,,,
,,,,,,,,,,Co 0.20,~
,WPS38815 CRS38815,S38815,0.030,2.0,0.04,0.02,5.5-6.5,15.0-17.0,13.0-15.0,0.75-1.50 Cu 0.75-1.50,~
