0.068,[1.7],0.06,[1.5],0.294,[7.5],0.257,[6.5],0.75,[19.0],0.658,[16.6]
0.068,[2.2],0.077,[2.0],0.3,[7.6],0.262,[6.7],0.812,[20.6],0.710,[18.0]
0.091,[2.3],0.08,[2.0],0.307,[7.8],0.269,[6.8],0.843,[21.4],0.736,[18.7]
0,095,[2.4],0.083,[2.1],0.308,[7.8],0.27,[6.9],0.854,[21.7],0.756,[19.2]
0.113,[2.9],0.099,[2.5],0.312,[7.9],0.273,[6.9],0.875,[22.2],0.766,[19.5]
0.119,[3.0],0.104,[2.6],0.318,[8.1],0.278,[7.1],0.906,[23.0],0.783,[20.1]
0.125,[3.2],0.109,[2.8],0.322,[8.2],0.282,[7.2],0.937,[23.8],0.820,[20.8]
0.126,[3.2],0.11,[2.8],0.33,[8.4],0.289,[7.3],0.968,[24.6],0.847,[21.5]
0.133,[3.4],0.116,[2.9],0.337,[8.6],0.295,[7.5],1.0,[25.4],0.875,[22.2]
0.140,[3.6],0.122,[3,1],0.343,[8.7],0.3,[7.6],1.031,[26.2],0.902,[22.9]
0.145,[3.7],0.127,[3.2],0.344,[8.7],0.301,[7.6],1.062,[27.0],0.929,[23.6]
0.147,[3.7],0.129,[3.3],0.358,[9.1],0.313,[8.0],1.083,[27.8],0.956,[24.3]
0.154,[3.9],0.135,[3.4],0.365,[9.3],0.319,[8.1],1.125,[28.6],0.984,[25.0]
0.156,[4,0],0.136,[3.5],0.375,[9.5],0.328,[8.3],1.156,[29.4],1.012,[25.7]
0.179,[4.5],0.157,[4.0],0.382,[9.7],0.334,[8.5],1.218,[30.9],1.066,[27.1]
0.187,[4.7],0.164,[4.2],0.4,[10.2],0.35,[8.9],1.25,[31.8],1.094,[27.8]
0.188,[4,8],0.164,[4.2],0.406,[10.3],0.355,[9.0],1.281,[32.5],1.121,[28.5]
0.191,[4.9],0.167,[4.2],0.432,[10.4],0.378,[9.6],1.312,[33.3],1.148,[29.2]
0.200,[5.1],0.175,[4.4],0.436,[11.1 l,0.382,[9.7],1.343,[34.1],1.175,[29.8]
0.203,[5.2],0.178,[4.5],0.437,[11.1],0.382,[9.7],1.375,[34.9],1.203,[30.6]
0.216,[5,5],0.189,[4.8],0.438,[11.1],0.383,[9.7],1.406,[35.7],1,230,[31.2]
0.218,[5.5],0.191,[4.9],0.5,[12.7],0.438,[11.1],1.436,[36.5],1.258,[32.0]
0.219,[5.6],0.192,[4.9],0.531,[13.5],0.465,[11.8],1.5,[36.1],1.312,[33.3]
0.226,[5.7],0.196,[5.0],0.552,[14.0],0.483,[12.3],1.531,[38.9],1.340,[34.0]
0.237,[6.0],0.207,[5.2],0.562,[14.3],0.492,[12.5],1.562,[39.7],1.367,[34.7]
0.250,[6.4],0.219,[5.6],0.593,[15.1],0.519,[13.2],1.593,[40.5],1.394,[35.4]
0.258,[6.6],0.226,[5.7],0.6,[15.2],0.525,[13.3],1.75,[44.5],1.531,[38.9]
0.276,[7.0],0.242,[6,1],0.625,[15.9],0.547,[13.9],1.781,[45.2],1.558,[39.6]
0.277,[7.0],0.242,[6.1],0.656,[16.6],0.573,[14.6],1.812,[46.0],1.586,[49.3]
0.279,[7.1],0.244,[6.2],0.674,[17,1],0.59,[15.0],1.968,[50.0],1.772,[43.7]
0.280,[7.1],0.245,[6,2],0.687,[17.4],0.601,[15.3],2.062,[52.4],1.804,[45.8]
0.281,[7.1],0.246,(6.2],0.719,[18.3],0.629,[16.0],2.343,[59.5],2.050,[52.1]
