bol,nation,,,,,,,,,,,
,,,nese,phorus,,,,,num,,ium,Elements

Class 3,,,,,,,,,,,
F 12,K11562,0.05-0.15,0.30-0.60,0.045,0.045 0.50 max,,,0.80-1.25,0.44-Q.65,,
Class 1,,,,,,,,,,,
F 12,K11564,0.10-0.20,0.30-0.80,0.040,0.040 0.10-0.60,,,0.80-1.25,0.44-0.65,,
Class 2,,,,,,,,,,,
F 21,K31545,0.05-0.15,0.30-0.60,0.040,0.040 0.50 max,,,2.7-3.3,0.80-1.06,,
F 3V,K31830,0.05-0.18,0.30-0.60,0.020,0.020 0.10,,,2.8-3.2,0.90-1.10,0,015-,V 0.20--0.30
,,,,,,,,,,0.035,B
,,,,,,,,,,,0.001-0.003
F 3VCb,K31390,0.10-0.15,0.30-0.60,0.020,0.010 0.10,0.25,,2.7-3.3,0.90-1.10,0.015-0.0700.015,V 0.20-0.30
,,,,,,,,,,,Cu 0.25
,,,,,,,,,,,Ca 0.0005-
,,,,,,,,,,,0.0150
F 22,K21590,0.05-0.15,0.30-0.60,0.040,0.040 0.50,,,2.00-2.50,0.87-1.13,,
Class 1,,,,,,,,,,,
F 22,K21590,0.05-0.15,0.30-0.60,0.040,0.040 0.50,,,2.00-2.50,0.87-1.13,,
Class 3,,,,,,,,,,,
F 22V,K31835,0.11-0.15,0.30-0.60,0,015,0.010 0.10,0.25,,2.00-2.50,0.90-1.10,0,07 0.030,Cu 0.20
,,,,,,,,,,,V 0.25-0.35
,,,,,,,,,,,B 0.002
,,,,,,,,,,,ca o.015F
F 23,K40712,0.04-0.10,0.10--0.60,0.030,0.010 0.50,0.40,,1.90-2.60,0.05-0.30,0.02- 0.005-,V 0.20-0.30
,,,,,,,,,,0.08 0.060G,B 0.0010--
,,,,,,,,,,,0.006
,,,,,,,,,,,N 0.Q15G
,,,,,,,,,,,Al 0.030
,,,,,,,,,,,W 1.45-1.75
F 24,K30736,0.05-0.10,0.30-0.70,0.020,0.010 0.15-0.45,,,2.20-2.60,0.90-1.10,0.06-0.10,V 0.20--0.30
,,,,,,,,,,,N 0.12
,,,,,,,,,,,Al 0.020
,,,,,,,,,,,B 0.0015-
,,,,,,,,,,,0.0070
FR,K22035,0.20,0.40-1.06,0.045,0.050,1.60--2.24,,,,,Cu 0.75-1.25
F 36,K21001,0.10-0.17,0.80-1.20,0.030,0.025 0.25-0.50,1.00-1.30,,0.30,0.25-0.50,0.015-0.045,N 0.020
,,,,,,,,,,,Al 0.050
,,,,,,,,,,,Cu 0.50-0.80
,,,,,,,,,,,V 0.02
,,,,,Martensitic Stainless Steels,,,,,,
F 6a,S41000,0.15,1.00,0.D40,0.030 1.00,0.50,,11.5-13.5,,,
F 6b,S41026,0.15,1.00,0.020,0.020 1.00,1.00-2.00,,11.5-13.5,0.40-0.60,,Cu 0.50
F 6NM,S41500,0.05,0.50--1.00,0.030,0.030 0.60,3.5-5.5,,11.5-14.0,0.50-1.00,,
,,,,,Ferritic Stainless Steels,,,,,,
FXM-,S44627,0.010H,0.40,0.020,0.020 0.40,o.50H,,25.0-27.5,0.75-1.50,0.05-0.20,N 0.015H
27Cb,,,,,,,,,,,Cu 0.20H
F 429,S42900,0.12,1.00,0.040,0.030 0.75,0.50,,14.0-16.0,,,
F 430,S43000,0.12,1.00,0.040,0.030 0.75,0.50,,16.0-18.0,,,
,,,,,Austenitic Stainless Steels,,,,,,
F 304,S30400,0.08,2.00,0.045,0.030 1.00,8.0-11.0,,18.0-20.0,,,N 0.10
F 304H,S30409,0.04-Q.10,2.00,0.045,0.030 1.00,8.0--11.0,,18.0-20.0,,,
F 304L,S30403,0.030,2.00,0.045,0.030 1.00,8.0--13.0,,18.0-20.0,,,N 0.10
F 304N,S30451,0.08,2.00,0.045,0.030 1.00,8.0-10.5,,18.0-20.0,,,N 0.10-0.16
F 304LN,S30453,0.030,2.00,0.045,0.030 1.00,8.0-10.5,,18.0-20.0,,,N 0.10-0.16
F 309H,S30909,0.04-0.10,2.00,0.045,0.030 1.00,12.0-15.0,,22.0--24.0,,,
F 310,S31000,0.25,2.00,0.045,0.030 1.00,19.0-22.0,,24.0--26.0,,,
F 310H,S31009,0.04-0.10,2.00,0.045,0.030 1.00,19.0-22.0,,24.0-26.0,,,
