75,[102],56,[76],50,[68],38,[52],25,[34],19,[26]
70,[95],53,[72],47,[64],35,[48],23,[31],18,[24]
65,[88],49,[67],44,[60],33,[45],21,[29],16,[22]
60,[82],45,[61],40,[54],30,[41],20,[27],15,[20]
55,[75],41,[56],37,[50],28,[38],18,[24],14,[19]
50,[68],38,[52],34,[46],25,[34],17,[23],13,[18]
45,[61],34,[46],30,[41],23,[31],15,[20],11,[15]
40,[54],30,[41],27,[37],20,[27],13,[18],10,[14]
35,[48],26,[35],23,[31],18,[24],12,[16],9,[12]
30,[41],22,[30],20,[27],15,[20],10,[14],8,[11 l
25,[34],19,[26],17,[23],12,[16],8,[11 l,6,[8]
20,[27],15,[20],13,[18],10,[14],7,[10],5,[7]
16,[22],12,[16],11,[15],8,[11],5,[7],4,[5]
15,[20],11,[15],10,[14],8,[11],5,[7],4,[5]
13,[18],10,[14],9,[12],6,[8],4,[5],3,[4]
12,[16],9,[12],8,[11],6,[8],4,[5],3,[4]
10,[14],8,[11 l,7,[10],5,[7],3,[4],2,[3]
7,[10],5,[7],5,[7],4,[5],2,[3],2,[3]
